,#bytes,#repetitions,t[usec],Mbytes/sec
,0,1000,8.11,0.00
,1,1000,8.05,0.12
,2,1000,8.06,0.25
,4,1000,8.03,0.50
,8,1000,7.96,1.01
,16,1000,7.95,2.01
,32,1000,8.01,4.00
,64,1000,8.02,7.98
,128,1000,8.04,15.91
,256,1000,8.11,31.58
,512,1000,10.31,49.67
,1024,1000,10.83,94.57
,2048,1000,13.66,149.92
,4096,1000,15.04,272.43
,8192,1000,16.76,488.72
,16384,1000,26.12,627.35
,32768,1000,35.58,920.87
,65536,640,59.98,1092.61
,131072,320,110.21,1189.29
,262144,160,132.11,1984.21
,524288,80,232.48,2255.22
,1048576,40,432.53,2424.31
,2097152,20,795.80,2635.29
,4194304,10,1458.23,2876.31
,8388608,5,3006.83,2789.85
,16777216,2,6266.16,2677.43
,33554432,1,15246.41,2200.81
,67108864,1,25115.30,2672.03
,134217728,1,49764.29,2697.07
,268435456,1,91497.03,2933.82
